instance_id,token,pred_tag,attribution_score
tensor(1241),Man,O,-0.008963660337030888
tensor(1241),braucht,O,-0.002955653239041567
tensor(1241),nur,O,0.010464321821928024
tensor(1241),die,O,0.015057940967381
tensor(1241),Augen,O,-0.01030376274138689
tensor(1241),öffnen,O,0.012178707867860794
tensor(1241),und,O,-0.01988735795021057
tensor(1241),beobachten,O,0.012590935453772545
tensor(1241),",",O,0.005391627084463835
tensor(1241),dann,O,-0.006881178822368383
tensor(1241),sieht,O,0.0034432639367878437
tensor(1241),man,O,-0.012205079197883606
tensor(1241),genau,O,0.005894830450415611
tensor(1241),wer,O,-0.0005813302705064416
tensor(1241),Schaden,O,0.0010563491377979517
tensor(1241),davon,O,-0.003341822884976864
tensor(1241),getragen,O,-0.003321383148431778
tensor(1241),hat,O,-0.0017603498417884111
tensor(1241),",",O,-0.0019182456890121102
tensor(1241),in,O,-0.005613964516669512
tensor(1241),meinem,O,-0.008919828571379185
tensor(1241),Umfeld,O,0.006021138280630112
tensor(1241),nur,O,0.007408503443002701
tensor(1241),ge,O,0.0019543045200407505
tensor(1241),#,O,0.013287498615682125
tensor(1241),#,O,0.0003786114975810051
tensor(1241),im,O,-0.001452624099329114
tensor(1241),##pf,O,0.008070113137364388
tensor(1241),#,O,-0.003993957303464413
tensor(1241),#,O,0.003146568313241005
tensor(1241),te,O,0.002068508882075548
tensor(1241),",",O,-0.0002523923758417368
tensor(1241),sagt,O,-0.007242546882480383
tensor(1241),ein,O,0.005062757059931755
tensor(1241),Freund,O,-0.022076819092035294
tensor(1241),!,O,0.014547190628945827
tensor(76),Was,O,-0.015699513256549835
tensor(76),fra,O,0.009902866557240486
tensor(76),#,O,-0.027064263820648193
tensor(76),#,O,-0.03905064985156059
tensor(76),sel,O,0.009692122228443623
tensor(76),#,O,-0.012225013226270676
tensor(76),#,O,-0.018238890916109085
tensor(76),t,O,-0.0020037770736962557
tensor(76),ihr,O,-0.019570007920265198
tensor(76),bl,O,-0.013400450348854065
tensor(76),#,O,0.0313272699713707
tensor(76),#,O,0.036976397037506104
tensor(76),ö,O,0.010830803774297237
tensor(76),#,O,0.0002691480331122875
tensor(76),#,O,-0.0013358198339119554
tensor(76),des,O,-0.0048037925735116005
tensor(76),zusammen,O,-0.002535061677917838
tensor(76),?,O,0.00494460528716445
tensor(76),!,O,-0.0038857772015035152
tensor(967),Herr,O,0.010423394851386547
tensor(967),#,O,-0.013995840214192867
tensor(967),Mac,O,0.000706406426616013
tensor(967),#,O,-0.005487479269504547
tensor(967),#,O,-0.0027338049840182066
tensor(967),ro,O,0.003987384494394064
tensor(967),##n,O,-0.0010589780285954475
tensor(967),schließt,O,0.0005187846254557371
tensor(967),Einsatz,O,-0.00425342284142971
tensor(967),von,O,-0.005151140037924051
tensor(967),westlichen,O,0.010395974852144718
tensor(967),Boden,O,0.015863768756389618
tensor(967),#,O,0.00886754970997572
tensor(967),#,O,0.003275771625339985
tensor(967),t,O,-0.003048519603908062
tensor(967),##r,O,-0.006104488857090473
tensor(967),#,O,0.008183877915143967
tensor(967),#,O,0.0003219312056899071
tensor(967),u,O,-0.005842218641191721
tensor(967),##pp,O,-0.003221643390133977
tensor(967),#,O,0.013617785647511482
tensor(967),#,O,0.007055625785142183
tensor(967),en,O,0.0011767717078328133
tensor(967),in,O,-0.0032866764813661575
tensor(967),der,O,0.006642742082476616
tensor(967),Ukraine,O,0.005586670711636543
tensor(967),nicht,O,0.006581440102308989
tensor(967),aus,O,0.0036735092289745808
tensor(967),?,O,0.004835721105337143
tensor(967),Meine,O,-0.0166521854698658
tensor(967),Güte,O,-0.01826006919145584
tensor(967),.,O,-0.027124539017677307
tensor(259),Viele,O,0.005027600564062595
tensor(259),Kommentare,O,-0.00221063825301826
tensor(259),hier,O,0.008100681938230991
tensor(259),sind,O,0.008632504381239414
tensor(259),sehr,O,-0.0034097456373274326
tensor(259),menschen,O,0.0016320962458848953
tensor(259),#,O,0.0022511575371026993
tensor(259),#,O,-0.00027967686764895916
tensor(259),ver,O,-0.0050933510065078735
tensor(259),#,O,0.0018179757753387094
tensor(259),#,O,0.011498472653329372
tensor(259),achten,O,-0.010327408090233803
tensor(259),#,O,0.00878286175429821
tensor(259),#,O,0.0030946223996579647
tensor(259),d,O,0.00023348763352259994
tensor(259),.,O,0.0026661246083676815
tensor(259),Ich,O,-0.01750139892101288
tensor(259),hoffe,O,-0.009152097627520561
tensor(259),diese,O,0.002529276069253683
tensor(259),Menschen,O,-0.003921175841242075
tensor(259),kommen,O,-0.001965133473277092
tensor(259),niemals,O,-0.003316934686154127
tensor(259),in,O,1.537427306175232e-05
tensor(259),eine,O,-0.005288986023515463
tensor(259),ähnliche,O,0.003069898346439004
tensor(259),Situation,O,-0.0032619782723486423
tensor(259),.,O,-0.006657157093286514
tensor(259),Der,O,0.0002677557058632374
tensor(259),Mensch,O,-0.007832590490579605
tensor(259),wird,O,0.006442945450544357
tensor(259),immer,O,-0.0009759007953107357
tensor(259),mehr,O,-0.009567509405314922
tensor(259),zum,O,0.0012196018360555172
tensor(259),Tier,O,0.005317913368344307
tensor(259),.,O,0.0004756019916385412
tensor(1140),Net,O,0.025528330355882645
tensor(1140),#,O,-0.02177528291940689
tensor(1140),#,O,-0.026467736810445786
tensor(1140),an,O,0.03569941222667694
tensor(1140),#,O,-0.04930933937430382
tensor(1140),#,O,-0.011604818515479565
tensor(1140),ja,O,-0.018299158662557602
tensor(1140),##h,O,-0.0016136318445205688
tensor(1140),#,O,0.016534896567463875
tensor(1140),#,O,0.0161617211997509
tensor(1140),u,O,-0.011442993767559528
tensor(1140),behandelt,O,0.004348634276539087
tensor(1140),sie,O,-0.021798796951770782
tensor(1140),wie,O,-0.0002370825968682766
tensor(1140),Tiere,O,0.002016127575188875
tensor(1140),und,O,0.003765716217458248
tensor(1140),wir,O,0.003510862123221159
tensor(1140),schauen,O,0.0018216567113995552
tensor(1140),zu,O,-0.017117580398917198
tensor(361),Hauptsache,O,0.007069756276905537
tensor(361),Dur,O,-2.0734034478664398e-05
tensor(361),#,O,-0.004254941828548908
tensor(361),#,O,-0.004483312368392944
tensor(361),st,O,-0.010547022335231304
tensor(361),#,O,0.0009533851407468319
tensor(361),#,O,-0.001968200784176588
tensor(361),lö,O,0.005474952515214682
tensor(361),##s,O,-0.007379292976111174
tensor(361),#,O,0.004341760650277138
tensor(361),#,O,0.01137905940413475
tensor(361),ch,O,-0.006823458708822727
tensor(361),##er,O,-0.005819079000502825
tensor(361),schme,O,-0.0035184966400265694
tensor(361),#,O,0.0010305237956345081
tensor(361),#,O,0.0014107567258179188
tensor(361),c,O,-0.002270281547680497
tensor(361),##kt,O,-0.003735361620783806
tensor(361),wie,O,-0.0065295882523059845
tensor(361),ein,O,-0.0020148414187133312
tensor(361),Math,O,0.00018159678438678384
tensor(361),#,O,0.0027222679927945137
tensor(361),#,O,0.0046357219107449055
tensor(361),ehe,O,-0.00090775266289711
tensor(361),#,O,0.011230673640966415
tensor(361),#,O,0.008388752117753029
